"stream","reach","quadrat","shrub","fruit_number","fruit_quality","fruit_count","weight","brix_value","total_seed_count","relative_soil_moisture","relative_moisture_scaled","stem_density","stem_density_scaled","canopy_cover","canopy_cover_scaled","distance_upstream","distance_upstream_scaled","distance_from_stream","distance_from_stream_scaled","salmon_density","salmon_density_scaled","chum_density","chum_density_scaled","pink_density","pink_density_scaled","northness","northness_scaled","eastness","eastness_scaled"
"beales",1,"A","1-A",1,"R",13,1.201,3.7,42,21.3,0.381173575353411,5,0.0994405878040263,72,-1.54555518296499,27,-0.99518965950515,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.90630778703665,-1.41305015251242,-0.422618261740699,-0.515131111744325
"beales",1,"A","1-A",2,"R",13,1.144,4.5,38,21.3,0.381173575353411,5,0.0994405878040263,72,-1.54555518296499,27,-0.99518965950515,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.90630778703665,-1.41305015251242,-0.422618261740699,-0.515131111744325
"beales",1,"A","1-A",3,"R",13,2.188,4.7,64,21.3,0.381173575353411,5,0.0994405878040263,72,-1.54555518296499,27,-0.99518965950515,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.90630778703665,-1.41305015251242,-0.422618261740699,-0.515131111744325
"beales",1,"A","1-A",4,"R",13,0.871,3.2,46,21.3,0.381173575353411,5,0.0994405878040263,72,-1.54555518296499,27,-0.99518965950515,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.90630778703665,-1.41305015251242,-0.422618261740699,-0.515131111744325
"beales",1,"B","1-B",1,"R",66,0.805,0.7,43,35.8,1.32972565305499,7,0.859679920370292,74,-1.31564990861213,28,-0.986623680486003,0.5,-0.648013721372398,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.92050485345244,1.32652187833115,0.390731128489274,0.576989616775525
"beales",1,"B","1-B",2,"R",66,0.167,NA,45,35.8,1.32972565305499,7,0.859679920370292,74,-1.31564990861213,28,-0.986623680486003,0.5,-0.648013721372398,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.92050485345244,1.32652187833115,0.390731128489274,0.576989616775525
"beales",2,"B","2-B",1,"R",6,0.185,NA,33,28.8,0.871803960371469,6,0.479560254087159,80,-0.62593408555353,82,-0.52406081345203,1.3,-0.244521433778944,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.996194698091746,1.44002984121519,0.0871557427476582,0.169365322198891
"beales",2,"D","2-D",1,"R",9,1.056,5.4,39,7.9,-0.495419379212187,2,-1.04091841104537,90,0.5235922862108,104,-0.335609275030782,1,-0.39583104162649,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.515038074910054,-0.826284144821968,0.857167300702112,1.20329439836645
"beales",3,"A","3-A",1,"R",29,1.867,8.5,38,-5.4,-1.36547059531088,3,-0.660798744762239,86,0.0637817375050678,110,-0.284213400915896,1.4,-0.194084897829763,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.342020143325669,0.458999672162453,-0.939692620785908,-1.2094300593832
"beales",3,"A","3-A",2,"R",29,2.216,8.4,50,-5.4,-1.36547059531088,3,-0.660798744762239,86,0.0637817375050678,110,-0.284213400915896,1.4,-0.194084897829763,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.342020143325669,0.458999672162453,-0.939692620785908,-1.2094300593832
